x,y,token
23.452389,-51.535736,","
-10.329704,-67.489456,the
-8.232714,-70.09254,and
23.072798,-51.66781,.
14.023344,-47.93373,of
23.837708,-51.9409,:
42.680737,-35.67956,to
-2.0269403,-62.612896,a
-10.099573,-73.23168,in
57.012123,-18.193096,I
23.633469,-51.753834,;
38.784397,-43.145718,that
50.197098,-20.728893,he
51.01562,-21.579897,his
44.341816,12.0778,'
44.935543,-39.01973,it
10.175536,-59.903374,was
17.296629,-52.18979,for
45.161407,-40.42697,not
-8.331275,-70.43626,with
53.13129,20.080746,And
45.334564,-30.365904,is
53.274822,1.2514735,be
43.29816,-2.913991,""""
56.936108,-18.149609,you
39.0547,-39.3087,as
9.701796,-56.465515,all
50.674294,-21.303352,him
13.483059,-56.524303,they
45.59237,-32.4924,shall
50.033607,-18.687807,her
13.092327,-56.509262,them
36.892616,-49.60228,had
54.424725,6.85952,have
46.885433,-6.5505295,s
59.008278,-17.038044,my
47.09531,-27.917727,said
57.669476,-18.019411,me
39.083958,-42.26415,but
41.661484,-33.750942,unto
-19.015104,-65.08257,-
-11.034882,-73.619514,from
51.572124,16.014868,at
38.63924,-43.520927,which
-11.820303,-72.97118,on
35.89777,-40.242287,by
2.9273024,-67.80635,this
55.480095,19.605423,The
12.809114,-56.45442,their
49.892902,-18.713963,she
41.573616,-3.443291,?
45.52707,-32.43493,will
11.212426,-59.707596,were
32.341156,-53.081345,LORD
11.300588,-59.679195,are
39.425842,-39.26949,so
54.02904,24.028599,thou
47.083492,-38.045376,or
41.711067,-2.4181366,"."""
19.716919,-51.71299,one
41.13946,-3.707569,!
-13.668963,-72.61512,out
42.31186,-1.3848356,--
19.902918,-51.709393,man
58.98702,-17.308662,thy
-7.6572247,-74.55921,when
55.889347,21.010761,there
-14.077918,-72.493614,up
45.64954,-40.327503,no
32.00508,-53.00845,God
58.919853,-16.9986,your
57.993458,-17.996778,thee
-2.1118956,-62.519833,an
43.888515,-3.1074972,","""
53.32408,19.264154,But
-11.631668,-72.99246,upon
56.79405,-18.194946,ye
52.98486,6.0309715,do
54.45042,14.270599,we
54.435734,17.574297,what
-13.544704,-72.632965,into
13.777036,-52.880516,more
52.89336,11.869252,if
44.95248,-32.083885,would
39.841766,-39.327072,very
50.13971,-20.498013,He
38.282467,-44.395924,who
44.72894,-31.831465,could
39.085354,-34.25524,been
42.085964,-42.909996,now
-18.998701,-64.81444,like
-9.377285,-74.11796,before
45.789207,-40.256588,any
-30.351091,-55.542294,came
-0.062558465,-69.60915,day
54.935608,0.8614596,come
53.14062,6.7282634,know
47.68126,-4.888295,am
44.445084,-31.372953,did
53.13556,-5.813069,then
53.624287,40.15684,1
12.690902,-52.131283,than
-9.126256,-67.6208,house
32.58466,-40.570168,little
53.48185,39.96258,2
55.65518,-10.464836,us
14.38436,-57.32067,people
11.928588,-47.880196,great
-14.074726,-72.5087,down
53.786243,4.0659556,see
38.101254,-36.126923,made
10.536952,-55.06059,every
26.765532,-31.670866,good
53.416374,19.166727,For
53.56024,5.7595363,say
13.340694,-57.911674,men
53.389877,39.837612,3
-0.19460537,-69.01771,time
41.184433,24.700214,king
17.59575,-61.936016,Israel
46.891663,-6.37528,d
46.74716,-39.010395,some
55.45065,20.318855,It
-10.580345,-72.42767,about
53.302555,39.711166,4
54.870438,0.93278897,go
55.677227,-10.4812,our
45.078682,-32.177933,should
-12.102707,-72.648705,over
36.79419,-49.630905,hath
45.3633,-32.346,may
11.948229,-56.412544,other
6.0163045,-65.342766,after
-23.844755,-62.659294,hand
12.171353,-57.75657,these
24.920412,-56.909294,son
40.86641,-40.537373,only
53.16551,39.515865,7
50.50457,-16.401754,Mr
15.324847,-47.660927,such
53.26078,39.6528,5
53.26771,39.660606,6
41.522415,-3.3316002,"?"""
-30.302128,-55.49356,went
17.547647,-54.211952,even
45.205402,-32.25754,must
28.080036,-31.909786,much
9.455558,-72.504974,two
-9.4148245,-74.17427,against
47.337276,-5.559405,t
17.426008,-59.962307,children
53.215496,39.588264,9
21.247566,-50.642582,own
53.2244,39.600838,8
53.082726,20.106049,Then
54.677757,2.8841865,make
45.33236,-32.27054,can
53.142017,39.481018,10
53.20497,39.572273,11
31.813532,-49.62492,also
-14.842364,-72.93297,again
-8.542009,-68.080666,land
51.55252,9.292998,O
-14.38174,-72.474144,away
53.18995,39.54993,12
19.881027,-51.592125,thing
26.880693,-53.325504,things
45.038593,-32.174137,might
27.458529,-31.564808,well
53.199833,39.56549,13
-7.1517625,-67.95367,way
10.943405,-69.780785,old
46.73678,14.487081,let
53.16899,39.519173,14
39.103928,-42.195866,yet
54.31292,17.59522,how
50.494263,-16.40772,Mrs
2.0827951,-68.04144,first
53.14698,39.490513,15
41.17418,-3.6482303,"!"""
44.822998,-40.11446,never
10.505344,-43.86494,(
53.18845,39.54777,16
50.670544,-21.2897,himself
9.8968725,-53.058624,long
47.2295,-27.986023,saying
24.949202,-56.26588,father
54.381332,14.617963,You
54.631535,2.8442998,give
16.844368,60.138275,shalt
53.036354,6.8451424,think
53.921303,17.763948,What
32.27851,-52.971947,Lord
38.893776,-42.794567,because
19.592731,-48.90619,being
29.811033,-54.154995,ever
10.647669,-62.991943,saw
