x,y,token
0.12772301,-40.541676,","
1.1600295,-42.27257,the
0.6690388,-41.71204,and
-0.013549227,-41.598724,.
1.2717527,-42.06456,of
5.0197806,61.224552,:
0.46649635,-41.65146,to
-2.1204128,-41.74242,a
1.5430547,-42.16403,in
-36.99312,25.22695,I
0.106321245,-40.56344,;
-1.5414808,-42.256077,that
0.8743048,-49.09751,he
-1.8853263,-49.343475,his
-25.745863,13.862932,'
-1.5893803,-42.311317,it
-1.2706907,-44.91635,was
-27.469908,8.535826,for
-38.93273,11.712394,not
0.7948787,-41.837185,with
0.03850524,62.954838,And
-36.13849,7.209425,is
-1.7073145,-43.560844,be
-9.929401,-60.1611,""""
-36.974895,25.280182,you
1.8470017,-45.070934,as
0.6696289,-41.6074,all
1.4840584,-48.510902,him
-0.98003465,-38.65588,they
-54.410267,18.358088,shall
-23.542276,-57.491062,her
1.5446669,-48.451584,them
-1.4095278,-44.649555,had
-1.5034308,-44.35241,have
-2.0889206,-49.160282,s
-35.41139,24.512192,my
-9.693163,-59.472477,said
-36.437805,23.859621,me
-0.70547354,-42.306587,but
14.514403,50.416523,unto
51.721127,-35.23596,-
16.626425,-41.404552,from
1.9277502,-42.365944,at
-1.3454572,-42.163742,which
34.381947,-58.269375,on
1.6501186,-42.187702,by
-1.8329179,-42.037575,this
1.1215581,-43.19336,The
45.335667,-29.108469,their
-23.549232,-57.482395,she
-41.529285,21.105867,?
-54.257214,18.21699,will
0.09621898,-44.90767,were
5.1079926,49.135468,LORD
0.11709908,-44.90473,are
1.8442191,-45.07692,so
-12.392035,53.374123,thou
1.3453568,-41.40347,or
-45.26262,18.403538,"."""
-2.428725,-38.836403,one
-52.90287,24.219545,!
15.757615,-55.127285,out
3.6944618,-4.006653,--
-3.2860746,-39.612877,man
-15.192196,51.733086,thy
-0.8245097,-58.65367,when
15.754006,-57.54131,there
12.037852,-58.04271,up
-44.358307,7.533167,no
4.866879,48.378746,God
-35.43805,24.56541,your
-14.991226,51.78613,thee
-2.339787,-41.57437,an
-9.725614,-60.019596,","""
0.061309684,62.8911,But
34.377182,-58.27337,upon
-0.72596407,51.67,ye
-55.43147,11.986574,do
-36.431385,26.28243,we
-38.766613,31.93125,what
15.774593,-55.12515,into
-2.901851,-35.377407,more
-44.45813,9.989874,if
-55.749123,19.046753,would
-45.33377,1.6568062,very
0.81656295,-49.190353,He
-10.943377,-48.344204,who
-56.03941,19.22934,could
-33.75923,-39.180683,been
-29.667084,16.507532,now
40.689877,-33.446167,like
-31.855747,0.012037834,before
-43.467323,6.7022023,any
38.745018,-55.638233,came
-38.26006,-49.54983,day
3.6718397,52.311893,come
-55.08193,13.266415,know
-47.309246,19.498766,am
-56.191772,19.350622,did
-29.586327,16.472706,then
3.956277,70.460945,1
-2.9407406,-35.481243,than
42.352844,30.861214,house
-0.8481937,-62.332058,little
