x,y,token
-9.551004,37.971066,.
-13.105887,30.385374,","
-51.048424,15.304509,'
-27.199919,28.372332,I
-12.993579,-41.98631,the
-60.43505,8.889997,you
9.657712,48.194504,-
-53.457455,-6.6015577,to
-9.646741,30.096273,?
-35.330105,-26.849537,a
-36.603592,3.2311103,s
-18.281649,-38.653362,of
-56.27987,11.472625,t
-37.87144,15.723879,it
-17.988829,-27.116003,and
-12.99112,30.093119,...
-9.5341835,37.979416,!
-34.256542,1.3751588,that
-8.7836685,-42.954662,in
-36.596146,20.60377,You
-40.211143,22.98699,is
-64.505646,-9.393259,me
-29.903452,-25.594872,for
-49.59596,-2.385206,have
-33.877434,1.0073704,this
-30.201143,-14.562382,my
-57.70048,3.49553,be
-60.07954,-13.148867,on
-40.43155,-13.613013,was
-30.185162,-14.567421,your
-52.16502,-15.918696,we
-44.665207,-9.045723,re
-36.141914,-11.734644,with
-49.623928,13.050311,m
-46.373745,15.063101,not
-50.808567,-9.391245,ll
-59.279736,15.077354,can
-37.539074,15.931243,he
-35.640186,14.0520315,It
-58.6059,6.9863796,know
-44.545326,-9.2173605,are
-61.285072,8.049455,do
-54.321373,-11.864303,all
0.32976338,-43.86735,The
-59.645466,16.662058,don
-5.79624,46.800926,""""
-45.549137,4.5321608,here
-33.01269,16.821405,And
-36.60615,20.598232,We
-50.27713,5.9618473,like
-50.46587,18.515131,what
-63.982414,-9.294532,him
-58.736618,-13.497916,out
-46.9068,7.3800983,just
-62.98299,-3.1937232,get
-35.87853,14.951506,He
-42.51669,17.384401,about
-13.722112,-45.25269,at
-45.986332,4.0104995,there
-59.140663,-13.927777,up
-44.908768,-22.136982,ve
-36.785786,29.64021,What
-48.84985,-11.217688,will
-50.30895,3.2840025,but
-31.84381,-5.922634,her
-42.438187,-2.8155189,one
-52.172897,-15.949247,they
10.543277,51.090725,]
10.548793,51.083996,[
-32.071796,-26.933186,got
-63.151314,-4.3978443,go
-56.63097,6.895194,if
-60.824726,11.292794,want
-35.61949,13.810062,That
-39.698017,13.45965,so
-52.264072,12.433199,think
-50.19651,-20.1505,as
-8.082326,-43.71667,from
-33.02914,16.852528,But
-59.24504,-16.026028,right
-12.286996,-42.406414,his
-43.205475,-3.9044328,no
-61.70106,1.944767,see
58.35253,5.0026336,A
-39.215706,-10.819379,time
-11.617241,-23.901031,an
-37.51476,15.825453,she
-26.673805,35.478825,Well
-64.20069,-9.611293,us
-44.074326,5.260715,now
-48.093777,-7.992415,d
-42.485462,-21.84553,been
-36.604347,20.598925,They
-63.925564,-9.491378,them
-47.485474,10.82648,going
-25.396198,33.59449,No
-43.480335,-23.123112,had
-59.635475,-12.127152,back
-44.553913,-9.230274,were
-26.060127,34.581017,Oh
-62.480865,-4.571185,come
-11.354386,-2.5580983,This
-61.203926,-3.3325217,take
-36.67924,1.120404,man
-37.517982,-9.220186,who
-8.232404,-43.51868,by
-3.7898862,-44.298054,our
-47.633305,-1.9453069,or
-39.048874,6.1714206,good
-44.731304,20.69829,So
-55.360516,-14.193431,some
-57.861507,5.3937674,say
-33.473427,18.66863,If
-44.864407,-5.921581,more
-47.479042,-10.722175,would
-47.73996,-10.712867,could
-39.238014,13.003453,too
-42.329296,1.3951186,way
-62.187782,5.0797186,tell
-50.726654,18.270866,how
-35.915085,14.962595,She
-31.43528,-7.4712744,when
-43.6345,-23.659958,has
-59.440105,16.302742,didn
-41.729736,23.083736,did
-36.92128,29.255533,How
-47.66296,10.889797,gonna
