x,y,token
-31.267056,14.435461,ा
-31.665245,15.432334,्
-31.27835,14.201794,ि
-31.094366,13.949045,क
-32.40465,13.936923,े
-31.162615,14.414888,ी
-31.094072,12.998591,र
-31.065664,15.196336,स
-31.232944,13.057977,न
-29.536158,15.066569,त
-15.330632,2.5334463,म
-19.272697,-17.183802,ह
-31.864832,14.452369,ो
-30.430475,14.166613,य
-13.551956,1.8157904,ल
-27.778118,13.641204,द
8.32831,-15.2411,ु
-31.625868,16.183027,प
-19.37373,22.870945,व
45.337692,-17.876661,-
-4.1345124,6.093872,ं
-32.708755,11.3839035,ज
-5.5682516,-31.076607,ग
-7.5022063,4.893635,ें
-22.339146,-24.659296,ै
5.3071213,19.335367,ू
-14.406739,2.5929267,ब
-3.702424,12.81928,श
-17.709742,12.446693,भ
-21.920618,-5.4895196,ों
-9.183748,-16.5765,।
18.797625,-15.398436,ट
-2.158937,18.218191,ष
-1.5461355,24.396759,थ
-14.67631,3.3255656,च
-29.740658,10.8620615,ध
-33.209507,13.820544,और
16.11275,-16.046452,ड
-29.347338,13.008779,पर
-7.4132447,-4.7597876,ख
-21.573977,-10.973786,ए
-22.325779,-24.67114,ैं
45.349293,-17.865154,LRB
-38.4956,2.4568012,.
45.343254,-17.87275,RRB
17.018373,-8.596334,फ
13.406559,-19.955595,़
-19.142784,14.279761,रत
-21.162125,-6.148373,कर
-31.058245,12.01301,ां
14.551788,-30.241913,ाँ
-0.77078193,19.172474,ण
2.8893104,16.437065,ृ
-9.41849,15.94085,एक
3.2974339,-4.554187,ौ
-5.8899436,-13.5565605,ई
14.852406,25.543524,छ
-16.455908,-19.266714,यह
-19.186106,-23.171837,इस
-13.032686,11.775793,अन
-11.724077,2.3617332,वर
-22.144785,-13.393887,करन
-11.153929,-12.658795,ीं
-4.743662,-18.905403,","
-6.847401,-27.930008,िं
-18.723969,9.45532,सम
9.935312,-28.989607,तर
-21.353613,2.1216478,गय
8.800576,-16.819733,अ
-14.432533,-11.643185,रह
13.990773,-20.028374,़ा
-24.807981,9.471256,अध
2.978198,-17.224562,़ी
-13.765025,-13.202368,नह
-23.700363,-10.294763,अपन
-16.21839,13.609813,जन
-22.523739,19.935179,रक
-3.9458296,-9.387144,उन
-31.725119,7.1294756,रण
-5.3951993,28.742105,सर
-12.86059,-11.248585,तक
-17.788969,-9.832652,आ
-14.411006,0.29178098,बन
-23.357437,12.327774,ओ
0.51983523,9.551097,उत
-13.869383,23.247086,तथ
32.77148,-16.55981,रद
20.408129,-13.913078,ॉ
12.360545,-16.372179,ठ
-23.208736,9.103812,यक
20.474876,-4.2407966,:
