x,y,token
-37.456078,15.978955,ा
-37.569725,14.995677,े
-36.76395,15.532918,क
-37.139034,17.417812,्
-37.167564,16.52469,ि
-37.568817,15.832991,ी
-36.76796,15.135189,र
-27.300158,13.682737,ह
-36.66345,15.155288,स
-36.948383,15.038948,न
-38.691944,15.411587,ो
-36.810883,14.7718725,म
-36.793755,15.925034,त
-37.615234,13.672217,ल
-36.82962,15.891115,य
-39.018112,15.663694,ु
-37.8444,14.690765,द
-29.095543,21.656803,प
-36.17341,13.89157,ज
-14.440456,30.3778,व
-35.6563,14.689958,ें
-38.953182,13.455053,ब
-38.33959,18.050188,ं
-36.262802,17.436207,ों
-33.91732,16.371952,ग
-37.544144,11.26332,थ
-37.99915,16.457375,ै
-39.00431,15.890951,ू
-36.033825,12.206393,ट
-37.120125,13.362979,च
-36.141552,16.015285,भ
-35.287407,16.864077,श
-36.072796,14.967943,और
-12.7052355,-30.184935,ड
-35.647717,15.284994,पर
-38.69825,13.494816,ख
-34.893433,18.995075,ए
-10.609976,31.746696,ष
-38.79909,14.491078,कर
-32.567593,18.553024,ध
-38.092304,12.727343,फ
-45.79147,8.177274,ां
-19.289768,-29.968294,़
-37.872467,-0.60793513,ीं
-46.93027,-6.396361,ै.
-31.994965,2.5274966,नह
-34.278366,9.669287,रह
-47.606792,-4.1118174,ा.
-38.44326,-18.497084,छ
-27.989105,20.598038,इस
-34.33137,14.427942,-
10.219435,11.819307,","
-33.550488,14.222474,एक
-23.96873,-27.972523,ई
-41.0115,-5.225125,ैं
-40.83467,6.7207994,यह
-39.94828,15.194321,ौ
-1.5599402,27.225592,रत
5.1885033,-35.683193,ै।
-34.439514,9.651917,गय
-40.83693,6.846101,वह
-40.56353,8.452085,अपन
-34.904488,-6.817892,कह
-45.273563,-0.13911141,.
-8.490125,32.62805,ृ
-48.760784,-1.464253,"ा,"
-47.449585,-4.0815763,ी.
1.2821935,42.43433,ण
-19.219788,-30.028383,़ा
-30.42999,-16.869864,आ
